TransactionID,CustomerID,Date,SKU,Quantity
PO-2024-10000,B2B-2734,2024-01-01,1128,2
PO-2024-10000,B2B-2734,2024-01-01,1275,2
PO-2024-10001,B2B-2154,2024-01-01,1078,19
PO-2024-10002,B2B-2398,2024-01-01,1270,1
PO-2024-10002,B2B-2398,2024-01-01,1143,3
PO-2024-10003,B2B-2183,2024-01-01,1172,3
PO-2024-10003,B2B-2183,2024-01-01,1254,2
PO-2024-10004,B2B-2376,2024-01-02,1088,10
PO-2024-10004,B2B-2376,2024-01-02,1346,1
PO-2024-10004,B2B-2376,2024-01-02,1091,5
PO-2024-10004,B2B-2376,2024-01-02,1103,3
PO-2024-10004,B2B-2376,2024-01-02,1013,5
PO-2024-10004,B2B-2376,2024-01-02,1015,15
PO-2024-10005,B2B-2575,2024-01-02,1344,4
PO-2024-10005,B2B-2575,2024-01-02,1345,2
PO-2024-10005,B2B-2575,2024-01-02,1332,2
PO-2024-10005,B2B-2575,2024-01-02,1349,2
PO-2024-10006,B2B-2041,2024-01-02,1361,2
PO-2024-10006,B2B-2041,2024-01-02,1069,4
PO-2024-10007,B2B-2024,2024-01-02,1063,12
PO-2024-10007,B2B-2024,2024-01-02,1264,1
PO-2024-10007,B2B-2024,2024-01-02,1105,8
PO-2024-10007,B2B-2024,2024-01-02,1106,17
PO-2024-10007,B2B-2024,2024-01-02,1117,3
PO-2024-10008,B2B-2111,2024-01-02,1248,2
PO-2024-10008,B2B-2111,2024-01-02,1312,6
PO-2024-10008,B2B-2111,2024-01-02,1059,6
PO-2024-10008,B2B-2111,2024-01-02,1257,2
PO-2024-10008,B2B-2111,2024-01-02,1003,15
PO-2024-10008,B2B-2111,2024-01-02,1071,12
PO-2024-10008,B2B-2111,2024-01-02,1086,51
PO-2024-10008,B2B-2111,2024-01-02,1247,6
PO-2024-10009,B2B-2641,2024-01-02,1093,39
PO-2024-10009,B2B-2641,2024-01-02,1094,45
PO-2024-10009,B2B-2641,2024-01-02,1253,4
PO-2024-10009,B2B-2641,2024-01-02,1148,2
PO-2024-10009,B2B-2641,2024-01-02,1051,27
PO-2024-10009,B2B-2641,2024-01-02,1020,27
PO-2024-10009,B2B-2641,2024-01-02,1341,2
PO-2024-10010,B2B-2174,2024-01-03,1344,2
PO-2024-10010,B2B-2174,2024-01-03,1347,4
PO-2024-10010,B2B-2174,2024-01-03,1252,2
PO-2024-10010,B2B-2174,2024-01-03,1036,54
PO-2024-10010,B2B-2174,2024-01-03,1234,4
PO-2024-10010,B2B-2174,2024-01-03,1010,36
PO-2024-10011,B2B-2504,2024-01-03,1257,1
PO-2024-10011,B2B-2504,2024-01-03,1109,1
