CustomerID,SKU,quantity,recency,frequency,monetary,class_COMPUTER SUPPLIES,class_OFFICE SUPPLIES,class_SCHOOL SUPPLIES,class_SMART TV,interaction_count,avg_quantity,avg_price
B2B-2000,1004,57,172,81,511884.98,40,41,0,0,201,18.412935323383085,61.56
B2B-2000,1009,129,172,81,511884.98,40,41,0,0,195,19.133333333333333,77.44
B2B-2000,1012,69,172,81,511884.98,40,41,0,0,212,20.90566037735849,82.24
B2B-2000,1013,27,172,81,511884.98,40,41,0,0,188,19.5531914893617,82.77
B2B-2000,1014,51,172,81,511884.98,40,41,0,0,195,21.23076923076923,111.09
B2B-2000,1016,24,172,81,511884.98,40,41,0,0,186,19.650537634408604,107.73
B2B-2000,1017,57,172,81,511884.98,40,41,0,0,199,20.256281407035175,132.69
B2B-2000,1018,21,172,81,511884.98,40,41,0,0,209,20.138755980861244,113.07
B2B-2000,1019,48,172,81,511884.98,40,41,0,0,200,20.4,145.41
B2B-2000,1020,24,172,81,511884.98,40,41,0,0,210,20.1,132.07
B2B-2000,1021,48,172,81,511884.98,40,41,0,0,190,20.96842105263158,130.95
B2B-2000,1022,36,172,81,511884.98,40,41,0,0,218,18.692660550458715,162.7
B2B-2000,1029,6,172,81,511884.98,40,41,0,0,190,18.089473684210525,157.1
B2B-2000,1041,6,172,81,511884.98,40,41,0,0,214,18.69626168224299,234.25
B2B-2000,1043,30,172,81,511884.98,40,41,0,0,183,21.7103825136612,240.54
B2B-2000,1044,54,172,81,511884.98,40,41,0,0,188,19.829787234042552,257.13
B2B-2000,1045,60,172,81,511884.98,40,41,0,0,204,20.333333333333332,267.29
B2B-2000,1047,9,172,81,511884.98,40,41,0,0,198,20.61111111111111,290.92
B2B-2000,1049,45,172,81,511884.98,40,41,0,0,179,18.731843575418996,289.28
B2B-2000,1052,69,172,81,511884.98,40,41,0,0,196,19.841836734693878,305.54
B2B-2000,1058,87,172,81,511884.98,40,41,0,0,186,17.70967741935484,328.14
B2B-2000,1065,42,172,81,511884.98,40,41,0,0,192,19.729166666666668,368.33
B2B-2000,1066,27,172,81,511884.98,40,41,0,0,191,20.81151832460733,341.22
B2B-2000,1068,9,172,81,511884.98,40,41,0,0,180,20.094444444444445,368.83
B2B-2000,1069,48,172,81,511884.98,40,41,0,0,196,19.163265306122447,391.93
B2B-2000,1071,60,172,81,511884.98,40,41,0,0,209,20.129186602870814,372.83
B2B-2000,1072,51,172,81,511884.98,40,41,0,0,204,21.67156862745098,405.81
B2B-2000,1075,123,172,81,511884.98,40,41,0,0,195,20.384615384615383,401.39
B2B-2000,1079,45,172,81,511884.98,40,41,0,0,195,19.405128205128204,448.78
B2B-2000,1081,60,172,81,511884.98,40,41,0,0,203,20.48768472906404,457.79
B2B-2000,1083,51,172,81,511884.98,40,41,0,0,188,21.345744680851062,428.57
B2B-2000,1084,84,172,81,511884.98,40,41,0,0,206,19.16504854368932,458.15
B2B-2000,1085,48,172,81,511884.98,40,41,0,0,198,19.595959595959595,435.17
B2B-2000,1115,6,172,81,511884.98,40,41,0,0,69,2.5217391304347827,590.65
B2B-2000,1120,6,172,81,511884.98,40,41,0,0,77,2.831168831168831,615.37
B2B-2000,1123,6,172,81,511884.98,40,41,0,0,73,2.9863013698630136,649.84
B2B-2000,1130,2,172,81,511884.98,40,41,0,0,76,2.8289473684210527,698.56
B2B-2000,1144,4,172,81,511884.98,40,41,0,0,90,2.933333333333333,730.04
B2B-2000,1156,2,172,81,511884.98,40,41,0,0,72,3.0277777777777777,792.32
B2B-2000,1163,4,172,81,511884.98,40,41,0,0,85,2.929411764705882,840.74
B2B-2000,1164,2,172,81,511884.98,40,41,0,0,73,2.835616438356164,834.45
B2B-2000,1179,2,172,81,511884.98,40,41,0,0,83,2.855421686746988,952.28
B2B-2000,1194,2,172,81,511884.98,40,41,0,0,78,2.6153846153846154,981.38
